title,loc_url,iiif_sample
"The Tabor independent (Tabor, S.D.), September 5, 1918",http://www.loc.gov/item/sn99062018/1918-09-05/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:sdhi:batch_sdhi_carrot_ver02:data:sn99062018:00332899648:1918090501:0688/full/pct:3.125/0/default.jpg#h=282&w=201
"Paris, France. Courtyard of American Red Cross Hospital #3, Rue Chevreuse, Paris. This hospital is for officers, some of whom may be seen enjoying the fresh air",http://www.loc.gov/item/2017666378/,https://tile.loc.gov/image-services/iiif/service:sgp:sgpbatches:batch_dlc_argonne_ver03:data:20001931:print:1919041101:0001/full/pct:6.25/0/default.jpg#h=412&w=318
The effegies of Barbara the wife of John Michael,http://www.loc.gov/item/2003680672/,https://tile.loc.gov/image-services/iiif/service:gmd:gmd382:g3824:g3824p:pm008271/full/pct:12.5/0/default.jpg#h=1009&w=1401
"The weekly Oskaloosa herald (Oskaloosa, Iowa), June 6, 1878",http://www.loc.gov/item/sn84027329/1878-06-06/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:iahi:batch_iahi_celebi_ver01:data:sn84027329:00279528992:1878060601:0096/full/pct:3.125/0/default.jpg#h=389&w=312
"Rockport a port of delivery. February 7, 1884. -- Referred to the House Calendar and ordered to be printed",http://www.loc.gov/item/2024804122/,https://tile.loc.gov/image-services/iiif/service:ll:llserialsetce:02:25:3_:00:_0:0:02253_00_00:02253_00_00-250-0250-0000:0867/full/pct:12.5/0/default.jpg#h=435&w=268
"Vermont watchman and State journal (Montpelier, Vt.), October 5, 1866",http://www.loc.gov/item/sn84023200/1866-10-05/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:vtu:batch_vtu_graniteville_ver01:data:sn84023200:00280777651:1866100501:0166/full/pct:6.25/0/default.jpg#h=413&w=316
"Gazeta de Puerto-Rico (San Juan, P.R.), May 4, 1861",http://www.loc.gov/item/2013201074/1861-05-04/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:prru:batch_prru_bacalao_ver04:data:2013201074:00295865295:1861050401:0233/full/pct:6.25/0/default.jpg#h=465&w=294
"Art in the U.S. Capitol, Washington, D.C.",http://www.loc.gov/item/2011632267/,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:14000:14073/full/pct:6.25/0/default.jpg#h=341&w=432
"Nord stern (La Crosse, Wis.), September 30, 1904",http://www.loc.gov/item/sn86086186/1904-09-30/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:whi:batch_whi_bowtruckle_ver02:data:sn86086186:00414215117:1904093001:0727/full/pct:3.125/0/default.jpg#h=278&w=205
"Clinch Valley news (Jeffersonville, Va.), December 24, 1954",http://www.loc.gov/item/sn85034357/1954-12-24/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_fortis_ver01:data:sn85034357:00542867127:1954122401:0283/full/pct:6.25/0/default.jpg#h=407&w=307
"Clinch Valley news (Jeffersonville, Va.), October 13, 1922",http://www.loc.gov/item/sn85034357/1922-10-13/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_fortis_ver01:data:sn85034357:00542867036:1922101301:0582/full/pct:6.25/0/default.jpg#h=408&w=305
"Richmond daily Whig (Richmond, Va.), October 10, 1856",http://www.loc.gov/item/sn84024656/1856-10-10/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_balikun_ver01:data:sn84024656:00414184674:1856101001:0689/full/pct:3.125/0/default.jpg#h=268&w=211
"The Caledonian (St. Johnsbury, Vt.), May 25, 1860",http://www.loc.gov/item/sn84023252/1860-05-25/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:vtu:batch_vtu_londonderry_ver01:data:sn84023252:00200296230:1860052501:0296/full/pct:3.125/0/default.jpg#h=306&w=216
"Bridgeton pioneer (Bridgeton, N.J.), February 13, 1902",http://www.loc.gov/item/sn87068192/1902-02-13/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:njr:batch_njr_ketchup_ver01:data:sn87068192:00279529716:1902021301:0055/full/pct:6.25/0/default.jpg#h=421&w=283
"Dodge City times (Dodge City, Kan.), April 5, 1883",http://www.loc.gov/item/sn84029838/1883-04-05/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:khi:batch_khi_cessna_ver01:data:sn84029838:00237283090:1883040501:0097/full/pct:6.25/0/default.jpg#h=470&w=331
LOSS COORDINATES FOR SELECTED MIA PERSONNEL,http://www.loc.gov/item/powmia/pwmaster_45523/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:laoscountrystudy00sava_0:laoscountrystudy00sava_0_0005/full/pct:6.25/0/default.jpg
"United States Code: National Capital Transportation Program, 40 U.S.C. §§ 651-671 (Suppl. 3 1958).",http://www.loc.gov/item/uscode1958-018040013/,https://tile.loc.gov/image-services/iiif/service:ll:llhsp:llhsp_laws_01:00359/full/pct:6.25/0/default.jpg#h=237&w=316
"The Southern herald (Liberty, Miss.), May 30, 1919",http://www.loc.gov/item/sn87007277/1919-05-30/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:msar:batch_msar_lightningbolt_ver03:data:sn87007277:00415662427:1919053001:0994/full/pct:6.25/0/default.jpg#h=395&w=254
"Capital and Labor leaders at White House. Washington, D.C., Jan. 14. Shown leaving the White House after a conference with President Roosevelt, where they presented some recommendations for pulling the country out of the present business slump, were left to right; A.A. Berle, former Brain truster of the New Deal, Philip Murray, C.I.O. leader, John L. Lewis, C.I.O. chief, Owen D. Young, head of the General Electric Co. and Thomas W. Lamont, partner of J.P. Morgan, 1/14/38",http://www.loc.gov/item/2016878002/,https://tile.loc.gov/image-services/iiif/service:ndnp:ncu:batch_ncu_appling_ver02:data:sn96027351:00332891613:1868010101:0001/full/pct:3.125/0/default.jpg#h=298&w=203
"El fronterizo (Tucson, Ariz.), July 22, 1893",http://www.loc.gov/item/sn95070521/1893-07-22/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:az:batch_az_manzanita_ver01:data:sn95070521:00211104843:1893072201:0045/full/pct:6.25/0/default.jpg#h=460&w=382
Daddy's darling,http://www.loc.gov/item/2023793600/,https://tile.loc.gov/image-services/iiif/public:music:musihas-100007371:musihas-100007371.0001/full/pct:12.5/0/default.jpg
"FBIS CONCATENATED JPRS DAILY REPORTS, 1993 (CON'T)/U.S.-VIETNAM RELATIONS CONCERNING AMERICAN POW'S AND THE TRADE EMBARGO; SOVIET DOCUMENT DISCOVERED",http://www.loc.gov/item/powmia/pwmaster_113011/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:angolacountrystu00coll_0:angolacountrystu00coll_0_0005/full/pct:6.25/0/default.jpg
"Imperial Valley press (El Centro, Calif.), August 15, 1918",http://www.loc.gov/item/sn92070146/1918-08-15/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:curiv:batch_curiv_noblefir_ver01:data:sn92070146:0041418960A:1918081501:0651/full/pct:6.25/0/default.jpg#h=461&w=365
"Sports Illustrated, Sporting Look-Evening Fashions",http://www.loc.gov/item/2021710752/,https://tile.loc.gov/image-services/iiif/service:gdc:gdcscd:00:51:61:15:54:3:00516115543:0001/full/pct:12.5/0/default.jpg#h=350&w=252
"Abraham Lincoln papers: Series 1. General Correspondence. 1833-1916: Oliver P. Morton to Abraham Lincoln, Thursday, October 22, 1863 (Telegram recommending military promotion for John L. Wilder)",http://www.loc.gov/item/mal2741100/,https://tile.loc.gov/image-services/iiif/service:mss:mal:274:2741100:001/full/pct:6.25/0/default.jpg#h=381&w=297
"The daily tribune (Florence, Colo.), October 14, 1907",http://www.loc.gov/item/sn90051356/1907-10-14/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:cohi:batch_cohi_carson_ver01:data:sn90051356:0051368065A:1907101401:0553/full/pct:6.25/0/default.jpg#h=322&w=245
"Union County courier (Elk Point, Union County, D.T. [S.D.]), October 24, 1888",http://www.loc.gov/item/sn84022137/1888-10-24/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:sdhi:batch_sdhi_kauai_ver01:data:sn84022137:00279523581:1888102401:1156/full/pct:3.125/0/default.jpg#h=266&w=200
"The Portland daily press (Portland, Me.), April 15, 1902",http://www.loc.gov/item/sn83016025/1902-04-15/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_jemptland_ver01:data:sn83016025:print:1902041501:0141/full/pct:6.25/0/default.jpg#h=392&w=319
"The Arkansas gazette (Arkansas Post, Ark. Ter.), March 18, 1829",http://www.loc.gov/item/sn82016482/1829-03-18/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:arhi:batch_arhi_fluorite_ver01:data:sn82016482:0051699065A:1829031801:0543/full/pct:6.25/0/default.jpg#h=446&w=276
"Two centuries of black American art : the Brooklyn Museum, June 25-September 5, 1977",http://www.loc.gov/item/2016649096/,https://tile.loc.gov/image-services/iiif/service:gdc:gdcscd:00:51:61:15:54:3:00516115543:0001/full/pct:12.5/0/default.jpg#h=350&w=252
"The Pacific commercial advertiser (Honolulu, Hawaiian Islands), November 9, 1886",http://www.loc.gov/item/sn85047084/1886-11-09/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:hihouml:batch_hihouml_brutus_ver02:data:sn85047084:00202195453:1886110901:0454/full/pct:3.125/0/default.jpg#h=309&w=245
"Union Square, San Francisco, California",http://www.loc.gov/item/2013630152/,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:20700:20724/full/pct:6.25/0/default.jpg#h=460&w=307
Martha,http://www.loc.gov/item/2003654108/,https://tile.loc.gov/image-services/iiif/service:gmd:gmd382:g3824:g3824p:pm008271/full/pct:12.5/0/default.jpg#h=1009&w=1401
"Alexandria gazette (Alexandria, D.C.), October 29, 1885",http://www.loc.gov/item/sn85025007/1885-10-29/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:vi:batch_vi_hilfiger_ver01:data:sn85025007:00415663936:1885102901:0317/full/pct:3.125/0/default.jpg#h=303&w=202
"Code of Federal Regulations: Standards Of Conduct, 13 C.F.R. (1995)",http://www.loc.gov/item/cfr1995041-T13CIP105/,https://tile.loc.gov/image-services/iiif/service:ll:llhsp:llhsp_laws_04:00581/full/pct:6.25/0/default.jpg#h=253&w=332
"The Detroit times (Detroit, Mich.), January 6, 1915, (AFTERNOON EDITION)",http://www.loc.gov/item/sn83016689/1915-01-06/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:mimtptc:batch_mimtptc_ingalls_ver01:data:sn83016689:00279552052:1915010601:0854/full/pct:3.125/0/default.jpg#h=328&w=233
"Beauty, health and complexion",http://www.loc.gov/item/08007258/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:beautyhealthcomp00madi:beautyhealthcomp00madi_0007/full/pct:12.5/0/default.jpg
"The commonwealth (Scotland Neck, N.C.), August 12, 1919, (FOUR O'CLOCK EDITION)",http://www.loc.gov/item/sn92073908/1919-08-12/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ncu:batch_ncu_mitchell_ver01:data:sn92073908:00416156566:1919081201:0307/full/pct:3.125/0/default.jpg#h=290&w=205
"Food vendors have replaced PPE vendors, Roosevelt Ave. at 82nd St., Queens",http://www.loc.gov/item/2020633406/,https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804n:la002021/full/pct:12.5/0/default.jpg#h=1404&w=1811
"Seward daily gateway (Seward, Alaska), July 9, 1914",http://www.loc.gov/item/2017218598/1914-07-09/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ak:batch_ak_harborseal_ver04:data:2017218598:00279525796:1914070901:0183/full/pct:3.125/0/default.jpg#h=406&w=267
"The Forrest City times (Forrest City, Ark.), June 22, 1900",http://www.loc.gov/item/sn84022960/1900-06-22/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:arhi:batch_arhi_alakazam_ver01:data:sn84022960:00414212037:1900062201:0980/full/pct:6.25/0/default.jpg#h=460&w=304
"The New Hampshire gazette (Portsmouth [N.H.]), August 17, 1830",http://www.loc.gov/item/sn83025588/1830-08-17/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:nhd:batch_nhd_avalon_ver02:data:sn83025588:00517015167:1830081701:0338/full/pct:3.125/0/default.jpg#h=305&w=205
"[Andrew Purviance Hazlehurst, head-and-shoulders portrait, right profile]",http://www.loc.gov/item/2007675974/,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:15:50:3:wdl_15503:F0000001/full/pct:12.5/0/default.jpg
"U.S. Reports: United States v. Vallejo, 68 U.S. (1 Wall.) 658 (1864).",http://www.loc.gov/item/usrep068658/,https://tile.loc.gov/image-services/iiif/service:ll:llserialsetce:01:82:5_:00:_0:0:01825_00_00:01825_00_00-111-0811-0000:0972/full/pct:12.5/0/default.jpg#h=425&w=267
"Cabrillo statue, San Diego, California",http://www.loc.gov/item/2011630972/,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:12700:12778/full/pct:6.25/0/default.jpg#h=266&w=211
"To increase pensions to those who have lost limbs or have been totally disabled or have become totally blind. March 9 (calendar day, March 10), 1926. -- Ordered to be printed",http://www.loc.gov/item/2022694272/,https://tile.loc.gov/image-services/iiif/service:ll:llserialsetce:08:52:4_:00:_0:0:08524_00_00:08524_00_00-190-0321-0000:0645/full/pct:12.5/0/default.jpg#h=461&w=285
"Code of Federal Regulations: Desert Land Entries, 43 C.F.R. (1977)",http://www.loc.gov/item/cfr1977118-T43CIIP2520/,https://tile.loc.gov/image-services/iiif/service:ll:llhsp:llhsp_laws_01:00359/full/pct:6.25/0/default.jpg#h=237&w=316
[Urban complex (Beirut)],http://www.loc.gov/item/2023672269/,https://tile.loc.gov/image-services/iiif/service:gdc:gdcwdl:wd:l_:12:92:9:wdl_12929:47860007-0006/full/pct:6.25/0/default.jpg
NARRATIVE,http://www.loc.gov/item/powmia/pwmaster_55958/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:angolacountrystu00coll_0:angolacountrystu00coll_0_0005/full/pct:6.25/0/default.jpg
"La sentinella = The sentinel (Bridgeport, Conn.), June 15, 1929",http://www.loc.gov/item/sn84020351/1929-06-15/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ct:batch_ct_clash_ver01:data:sn84020351:00414219482:1929061501:0167/full/pct:3.125/0/default.jpg#h=282&w=227
Bowling.,http://www.loc.gov/item/05029320/,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:bowling01voge:bowling01voge_0005/full/pct:12.5/0/default.jpg
NO CAPTION,http://www.loc.gov/item/2016854389/,https://tile.loc.gov/image-services/iiif/service:ndnp:ncu:batch_ncu_appling_ver02:data:sn96027351:00332891613:1868010101:0001/full/pct:3.125/0/default.jpg#h=298&w=203
"The theocrat (Zion City [i.e. Zion], Ill.), November 12, 1947",http://www.loc.gov/item/sn94054571/1947-11-12/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:iune:batch_iune_cinnabar_ver01:data:sn94054571:00332897950:1947111201:0473/full/pct:6.25/0/default.jpg#h=406&w=285
"The Lexington dispatch (Lexington, South Carolina), August 17, 1887",http://www.loc.gov/item/sn84026907/1887-08-17/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:scu:batch_scu_bogoff_ver01:data:sn84026907:00295862397:1887081701:0007/full/pct:3.125/0/default.jpg#h=408&w=278
"New-Haven daily herald (New Haven, Conn.), September 13, 1844",http://www.loc.gov/item/sn82015816/1844-09-13/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ct:batch_ct_energytonic_ver01:data:sn82015816:00516995622:1844091301:0233/full/pct:6.25/0/default.jpg#h=452&w=326
"The Colfax chronicle (Colfax, Grant Parish, La.), November 21, 1914",http://www.loc.gov/item/sn88064176/1914-11-21/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:lu:batch_lu_magneto_ver01:data:sn88064176:00280761941:1914112101:0212/full/pct:6.25/0/default.jpg#h=454&w=313
[Detail of silver hunting knife and scabbard made for Theodore Roosevelt by Tiffany's in 1884],http://www.loc.gov/item/2002723991/,https://tile.loc.gov/image-services/iiif/service:gdc:gdcscd:00:51:61:15:54:3:00516115543:0001/full/pct:12.5/0/default.jpg#h=350&w=252
"Passaic City record (Passaic City, N.J.), March 2, 1901",http://www.loc.gov/item/sn85035722/1901-03-02/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:njr:batch_njr_deal_ver01:data:sn85035722:0051368521A:1901030201:0483/full/pct:6.25/0/default.jpg#h=385&w=286
"The news & observer (Raleigh, N.C.), April 25, 1903",http://www.loc.gov/item/sn85042104/1903-04-25/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ncu:batch_ncu_hamm_ver01:data:sn85042104:00332892289:1903042501:0545/full/pct:3.125/0/default.jpg#h=266&w=203
"The Newark star and Newark advertiser (Newark, N.J.), May 7, 1909, (LAST EDITION)",http://www.loc.gov/item/sn91064010/1909-05-07/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:njr:batch_njr_bacala_ver01:data:sn91064010:00332896027:1909050701:0076/full/pct:6.25/0/default.jpg#h=431&w=314
"Carson City daily appeal (Carson City, Nev.), June 27, 1911",http://www.loc.gov/item/sn86076241/1911-06-27/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:nvln:batch_nvln_idlewild_ver01:data:sn86076241:00271764017:1911062701:0542/full/pct:6.25/0/default.jpg#h=477&w=338
"American telegraph (Washington [D.C.]), September 18, 1851",http://www.loc.gov/item/sn82014594/1851-09-18/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:dlc:batch_dlc_alicanto_ver02:data:sn82014594:00415661046:1851091801:0650/full/pct:3.125/0/default.jpg#h=267&w=191
"The Logan Republican (Logan, Utah), April 25, 1911",http://www.loc.gov/item/sn85058246/1911-04-25/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:uuml:batch_uuml_basso_ver01:data:sn85058246:00206536329:1911042501:0382/full/pct:6.25/0/default.jpg#h=379&w=276
Haiyang Xian zhi : ba juan,http://www.loc.gov/item/2011457265/,https://tile.loc.gov/image-services/iiif/service:asian:lcnclscd:2011457265:0A000:00001a/full/pct:12.5/0/default.jpg
"The times-news (Hendersonville, N.C.), April 2, 1938",http://www.loc.gov/item/sn86063811/1938-04-02/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ncu:batch_ncu_endive_ver02:data:sn86063811:00279558406:1938040201:0015/full/pct:3.125/0/default.jpg#h=296&w=211
"The Milwaukee leader (Milwaukee, Wis.), February 13, 1928, (Mail Edition)",http://www.loc.gov/item/sn83045293/1928-02-13/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:whi:batch_whi_havarti_ver01:data:sn83045293:00542868843:1928021301:0409/full/pct:3.125/0/default.jpg#h=302&w=221
[Vogue - Ski Houses],http://www.loc.gov/item/2021752894/,https://tile.loc.gov/image-services/iiif/service:ndnp:dlc:batch_dlc_kingman_ver01:data:sn83025514:00220720457:1900012701:0001/full/pct:3.125/0/default.jpg#h=278&w=182
Any rags,http://www.loc.gov/item/2023791265/,https://tile.loc.gov/image-services/iiif/public:music:musihas-100004483:musihas-100004483.0001/full/pct:12.5/0/default.jpg
"The Anaconda standard (Anaconda, Mont.), November 2, 1898, (Morning)",http://www.loc.gov/item/sn84036012/1898-11-02/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:mthi:batch_mthi_avocet_ver01:data:sn84036012:00294550185:1898110201:0426/full/pct:6.25/0/default.jpg#h=431&w=343
Thomas Dugan Moye Collection,http://www.loc.gov/item/afc2001001.69140/,https://tile.loc.gov/streaming-services/iiif/service:vhp:0691:069140:afc2001001_069140_sr0001001/info.json
"Jamestown weekly alert (Jamestown, Stutsman County, D.T. [N.D.]), April 29, 1886",http://www.loc.gov/item/sn85042405/1886-04-29/ed-1/,https://tile.loc.gov/image-services/iiif/service:ndnp:ndhi:batch_ndhi_hazen_ver01:data:sn85042405:00212478714:1886042901:1024/full/pct:3.125/0/default.jpg#h=296&w=217
